Student_ID,Study_Hours,Attendance,Assignments,Exam_Score,Study_Attendance,Assignment_Rate,Performance_Index
1,5.0,85.0,8.0,75,425.0,0.8,29.9
2,12.125,90.0,9.0,82,1091.25,0.9,34.550000000000004
3,12.125,88.0,7.0,78,1067.0,0.7,33.35
4,12.0,95.0,10.0,95,1140.0,1.0,36.3
5,4.0,70.0,6.0,65,280.0,0.6,24.400000000000002
6,22.359375,80.0,8.0,85,1788.75,0.8,35.34375
7,6.0,85.88888888888889,8.0,76,515.3333333333333,0.8,30.566666666666663
8,8.0,92.0,9.0,88,736.0,0.9,33.5
9,5.0,84.0,8.11111111111111,72,420.0,0.8111111111111111,29.633333333333333
10,7.0,89.0,8.0,81,623.0,0.8,31.9
